date,open,high,low,close,volume,average,barCount,HA_Close,HA_Open,HA_High,HA_Low,ema9,wma30
2023-03-23 17:17:00-05:00,12858.5,12859.5,12850.75,12854.75,304.0,12855.475,145,12855.875,,12859.5,12850.75,12855.875,
2023-03-23 17:18:00-05:00,12854.5,12855.25,12850.25,12850.25,324.0,12852.5,173,12852.5625,12856.625,12856.625,12850.25,12855.212500000001,
2023-03-23 17:19:00-05:00,12850.25,12850.25,12845.25,12846.0,311.0,12847.85,152,12847.9375,12852.375,12852.375,12845.25,12853.757500000002,
2023-03-23 17:20:00-05:00,12846.0,12850.25,12846.0,12847.5,205.0,12847.925,138,12847.4375,12848.125,12850.25,12846.0,12852.4935,
2023-03-23 17:21:00-05:00,12848.0,12849.5,12846.25,12848.0,137.0,12848.025,86,12847.9375,12846.75,12849.5,12846.25,12851.5823,
2023-03-23 17:22:00-05:00,12848.5,12848.75,12844.75,12845.0,144.0,12845.8,77,12846.75,12848.0,12848.75,12844.75,12850.61584,
2023-03-23 17:23:00-05:00,12845.0,12848.75,12845.0,12847.5,107.0,12847.45,73,12846.5625,12846.75,12848.75,12845.0,12849.805172,
2023-03-23 17:24:00-05:00,12848.25,12848.25,12843.0,12844.75,115.0,12845.15,79,12846.0625,12846.25,12848.25,12843.0,12849.0566376,
2023-03-23 17:25:00-05:00,12844.75,12848.0,12844.75,12848.0,79.0,12845.9,53,12846.375,12846.5,12848.0,12844.75,12848.52031008,
2023-03-23 17:26:00-05:00,12848.0,12850.25,12847.5,12848.25,118.0,12848.725,72,12848.5,12846.375,12850.25,12846.375,12848.516248064003,
2023-03-23 17:27:00-05:00,12848.75,12849.5,12847.75,12848.5,88.0,12848.75,58,12848.625,12848.125,12849.5,12847.75,12848.537998451204,
2023-03-23 17:28:00-05:00,12848.5,12848.75,12846.5,12847.5,76.0,12847.7,50,12847.8125,12848.625,12848.75,12846.5,12848.392898760963,
2023-03-23 17:29:00-05:00,12847.75,12852.25,12847.5,12850.75,166.0,12850.375,101,12849.5625,12848.0,12852.25,12847.5,12848.626819008772,
2023-03-23 17:30:00-05:00,12851.5,12851.5,12849.25,12849.5,114.0,12850.05,57,12850.4375,12849.25,12851.5,12849.25,12848.988955207018,
2023-03-23 17:31:00-05:00,12849.75,12850.5,12845.75,12845.75,149.0,12847.575,73,12847.9375,12850.5,12850.5,12845.75,12848.778664165615,
2023-03-23 17:32:00-05:00,12845.75,12848.25,12845.75,12848.0,45.0,12846.925,21,12846.9375,12847.75,12848.25,12845.75,12848.410431332493,
2023-03-23 17:33:00-05:00,12848.0,12851.5,12847.75,12851.25,99.0,12850.325,71,12849.625,12846.875,12851.5,12846.875,12848.653345065995,
2023-03-23 17:34:00-05:00,12851.5,12852.75,12848.5,12849.0,138.0,12850.475,92,12850.4375,12849.625,12852.75,12848.5,12849.010176052796,
2023-03-23 17:35:00-05:00,12849.25,12849.5,12845.5,12847.0,154.0,12846.95,74,12847.8125,12850.25,12850.25,12845.5,12848.770640842238,
2023-03-23 17:36:00-05:00,12847.25,12847.75,12846.5,12847.25,30.0,12847.2,20,12847.1875,12848.125,12848.125,12846.5,12848.454012673792,
2023-03-23 17:37:00-05:00,12847.25,12847.25,12845.5,12845.5,57.0,12846.175,33,12846.375,12847.25,12847.25,12845.5,12848.038210139033,
2023-03-23 17:38:00-05:00,12846.25,12846.75,12845.5,12846.0,34.0,12846.3,22,12846.125,12846.375,12846.75,12845.5,12847.655568111228,
2023-03-23 17:39:00-05:00,12847.0,12847.5,12838.5,12839.0,340.0,12841.95,188,12843.0,12846.125,12847.5,12838.5,12846.724454488984,
2023-03-23 17:40:00-05:00,12838.5,12844.5,12838.5,12840.75,127.0,12841.5,81,12840.5625,12843.0,12844.5,12838.5,12845.492063591188,
2023-03-23 17:41:00-05:00,12841.25,12844.5,12841.25,12843.0,101.0,12843.0,56,12842.5,12839.625,12844.5,12839.625,12844.893650872951,
2023-03-23 17:42:00-05:00,12843.25,12843.25,12841.25,12842.5,61.0,12842.55,36,12842.5625,12842.125,12843.25,12841.25,12844.427420698363,
2023-03-23 17:43:00-05:00,12842.5,12843.25,12840.0,12840.25,52.0,12841.575,35,12841.5,12842.875,12843.25,12840.0,12843.841936558692,
2023-03-23 17:44:00-05:00,12841.0,12841.0,12839.25,12840.75,93.0,12840.125,58,12840.5,12841.375,12841.375,12839.25,12843.173549246954,
2023-03-23 17:45:00-05:00,12841.0,12842.5,12839.25,12841.25,96.0,12840.725,58,12841.0,12840.875,12842.5,12839.25,12842.738839397565,
2023-03-23 17:46:00-05:00,12840.75,12842.5,12838.5,12839.0,109.0,12840.125,61,12840.1875,12841.125,12842.5,12838.5,12842.228571518053,12844.975806451614
